id,human_readable_id,community,level,parent,children,title,entity_ids,relationship_ids,text_unit_ids,period,size
372d1e68-4880-4413-b066-64c35b0e1807,0,0,0,-1,[6 7],Community 0,"['6a71bb9d-842a-40b2-aa0a-fa088098eb6b'
 '345a27a5-b296-4c64-aec1-3118ce0dd720'
 'bb25abe4-56f1-436a-b249-987d437d05c6'
 '6f2807d9-37ce-4abf-8f2c-8d74579d1653'
 '4373eb02-1d58-422b-9dd6-333201d81bef'
 'dd51cc7f-7535-4d79-bd3f-63a6c3c5c3e4'
 '6e1d904a-abfd-4cf1-98b4-35e505b7ce77'
 '131b1a43-797c-4821-a057-a3019d8f2f9e'
 'd2478194-4a66-4796-86ff-870fe216eeb7'
 '9896d3b5-fdb9-4ce9-b984-4caa81047763'
 'e962bd25-8f69-4c59-9668-0311acf34068'
 '5da02fc3-8ef2-458a-81f5-5b3d57fb1ab6'
 '4a3a70b4-39f0-4a2a-b902-c78796350c20'
 'f98ff23d-3d76-465f-aee8-f60aacfb1960'
 '0d48f9aa-98cb-41b0-b7b4-f4351cd63f99'
 '8e92e57d-c30c-4ad2-90b7-fd5f4bd5db5a'
 '639b7074-f517-4d1c-85d5-81e855bc7eec'
 'd60525e3-1e65-4005-8696-ad5bdedb2f47'
 '77770ca0-6e5f-40db-bd83-76acf8b95074'
 '860d2e83-03ea-4713-a071-7594005affbe'
 '39ae181f-1f87-4ee3-add5-cfff106f30f5'
 '9d459c02-c34e-4993-9e2b-e516bb3c75ec'
 '7be77fa7-c9fc-4bfc-b6e4-41c8a5d3be79'
 '51d5390a-330e-47ac-9e3f-eaabcf7e2aee'
 '889f5329-a819-4a85-9943-09f65363bf45'
 '8b4b63c1-e4e6-44b7-a551-0ea17d126e38'
 'd9ca206f-22f6-4307-bb95-7873fd16b560'
 '15fc2fa4-abeb-443d-b211-8436051d2874'
 '58f79fdd-caba-4f41-a8f9-db9cc6b4a6f2'
 'f20a7c23-3de3-4ce0-b8ca-52b1b209da82']","['0165682e-7ce5-468b-a0b1-a54e95070f58'
 '02af78af-8d8e-418f-b8d5-6122d3fe8a08'
 '0bb7eaaf-32a5-4692-b8df-c2747ef88207'
 '325064ba-29b6-4736-883a-0586b04d5bbe'
 '3a0b8ce7-6ead-46ce-904d-40005f617782'
 '451bb88b-46d8-49bc-8521-7d3eaff2a3f6'
 '6491a144-4e8c-4c6f-9076-806651843bfd'
 '68ebc669-6626-46b4-ae2a-8390007531f6'
 '6d600887-a9c4-4be7-bd2e-a3c2269c8cce'
 '6e1d59a3-c159-44e8-aaeb-8806361c8aaf'
 '6f3a5a3b-3051-4bd8-9c87-edc02e99fe23'
 '70666143-e393-44a2-961b-73a8ff6f9806'
 '76535ec6-2d1c-4040-b92d-852100ddbc81'
 '81bfa2df-c9be-4a81-b63f-c9bf6c8812a1'
 '8a99413e-5eb3-4aea-8361-037f89f80d17'
 '8f7bcf33-b125-4f95-aecc-b0193ad14cf2'
 'a0673634-6e92-4e4d-b6d5-716784154b2f'
 'a0d2966b-d38d-4dff-8326-a35c454543cf'
 'b5f71b3b-dd87-47a3-97f8-54a637e59715'
 'bbea1747-9daf-4a05-b20f-6b14abeb148a'
 'c3c4a369-b890-4bd5-810b-946c05123df7'
 'c9801861-fdf9-497d-83c0-4b9b6638037f'
 'ca2477dd-9b34-4dee-946e-afee21a91610'
 'cef5c987-a957-4874-afb2-fa0989f820c0'
 'dea7a0ff-d76e-414f-9e3a-706ba85a54b4'
 'e0e7c86a-b30b-48db-bae1-5a13c7b681f7'
 'e92c13d1-5bf1-4aea-9460-fc6db4356b53'
 'f07be952-c021-4ef7-9020-b67b6220b2b4'
 'f3cf38d5-eb1e-465e-8e75-fa854711cf50'
 'fab5aa69-8637-44f1-9853-83331750b2f9'
 'fb4eaa44-c95b-4258-92cb-368e25fe4e38']","['0449a76afd55ec1ad340511a2a334d3d0e3faf9184d0d94997cacdcad5fe632f7c519e0992db028f4ac979f29767f7c604e2332d702d1a1fe8bfa6aa85d3bcfb'
 '12ecd7c50e9c677df7e4127a1ea4de59f872f9eef638be0b979a40289364f6f32f4e5ddb760bc1e94313ce1ac2234c8073abad37bcfda5c68674b23820d1ff2f'
 '169b8e27bd606bf36304b2dc773aaefa6e11439128f79115887e23cb492ab716e0d56278909e89c694ebaf6bb447a98d9803a593225515c7c86c194ecf7c338d'
 '24503ee42054d27f1e74c0adc8e8f3b952fe57e1474e3f377de153ba8f8c8f954e165e1c52e9ae8893a77f359b9c022df6b5838acf7bd2efac84489c4f88057f'
 '32ff9b2a2e365706d5c8e7ec24009285b0ede81f2a4d2d9bcb54c462b332a1dca68935351b8b8396106d44f7bf4598488f3b8bfcdcd1e7aa48d30414b6cd9301'
 '4ce47ef99f1d789556357efcd125fb9ec2cfe321a60756ea8c26fd2123fe22198b2e5f8e5ca8d0e7ba30dfde1c6477e2ce3d1f6f5b074bc0768f748350b774f1'
 '5820a90c905d8b7be94bf0f50625f67e90e2f2aea63590cf9f938ff9cd00ee9a6f199ebc1b0cc47384cff2aa03183d802e859c3fac30430ae7d7f334d6291d97'
 'def17fb0e1737486aa172a878494bfb1e4a549eb4cb10ce54e7568ca71ee7775162868494aa2ac1f2a473bc91fd7b6e8ca742ae28099ab10b55bc72d2dc240e9'
 'fb8515c9763bb00eeb0bfc98359372a0d64382eb4725b1134e9293b7cbfd2bb4a0e84b6f546f1cc9621abd6454e756f8bedac63cba6072cfb0c5ebbcc18e5360'
 'fbdc3cae34b0ce0aecfcac241bdf2ab820cbcdaa5997e0c88497bad01a145afcf23b4914f5b4818de3c6f3bbf102c573f3ed105bb3476ffe7476f3aa6f9f3c5b']",2025-12-19,30
14290626-8e64-4871-84e3-7556b51b4b9f,1,1,0,-1,[],Community 1,"['20699545-4e89-4832-a716-8febb367c6d9'
 'b745b540-cb20-4f29-b137-89e75bb44e95'
 'b9e5123c-f038-4b33-99e2-6d4190747ddf'
 '262ef1a5-593b-4b48-af0b-10c81db11810'
 '9b78c614-016e-4ae5-9e60-d343100b6177'
 '0181dd62-76e3-4980-b691-9188b4b6351c'
 '46b2a78f-87fc-4996-ad1a-ba221b261a15'
 'c73e7720-3af5-43e4-a90e-45fd13ed2b87'
 '88c9bdf4-dbba-48de-b3a8-268a81ee78d0']","['59603e67-67a4-464a-a531-0fb2cdb304d1'
 '5a446883-6c51-49be-9a8c-83b11aee8959'
 '5f7f9440-5ec9-404a-a1a1-95d95d107a4b'
 '724bd6f5-0ed0-4d03-9c7e-d6aa71e1d310'
 '7350d850-5f20-49d5-9c81-acb0628c2900'
 '9e59b399-074d-4379-a094-81fd3920d85a'
 'a29863cd-7169-42c0-bd16-d860a01fdddc'
 'ce8f620f-a8b8-4297-b856-533d892a1815']","['0449a76afd55ec1ad340511a2a334d3d0e3faf9184d0d94997cacdcad5fe632f7c519e0992db028f4ac979f29767f7c604e2332d702d1a1fe8bfa6aa85d3bcfb'
 '4ce47ef99f1d789556357efcd125fb9ec2cfe321a60756ea8c26fd2123fe22198b2e5f8e5ca8d0e7ba30dfde1c6477e2ce3d1f6f5b074bc0768f748350b774f1'
 '5820a90c905d8b7be94bf0f50625f67e90e2f2aea63590cf9f938ff9cd00ee9a6f199ebc1b0cc47384cff2aa03183d802e859c3fac30430ae7d7f334d6291d97'
 'fb8515c9763bb00eeb0bfc98359372a0d64382eb4725b1134e9293b7cbfd2bb4a0e84b6f546f1cc9621abd6454e756f8bedac63cba6072cfb0c5ebbcc18e5360'
 'fbdc3cae34b0ce0aecfcac241bdf2ab820cbcdaa5997e0c88497bad01a145afcf23b4914f5b4818de3c6f3bbf102c573f3ed105bb3476ffe7476f3aa6f9f3c5b']",2025-12-19,9
f63ae955-0763-4060-9053-dde5f45b1442,2,2,0,-1,[],Community 2,"['6475adb6-cfd9-4aa3-9938-0dd32f6f0495'
 '19419a3b-df90-407b-bee0-6137e96ccce9'
 'b51597d3-f90d-46a0-b5b5-de4d40a01300'
 '3a12ceb7-8940-496a-878e-5ddd0dcc1869'
 '8050f029-5b4c-404a-9dd6-9641ef7fc2fd'
 'b493031f-45bf-4527-8973-1e1a10918b78']","['46075b0f-03c9-44bf-8af1-f2dbba967068'
 '7c3a2abc-891e-4d78-802e-1fd830d21fe8'
 '83d98e86-649b-4371-940b-063accfa4b0d'
 'ac62e4b3-f3f9-4aa9-a6c6-18d9d089f2c0'
 'e0757af0-1f73-4a54-9cfb-c24fe4428c0d']","['12ecd7c50e9c677df7e4127a1ea4de59f872f9eef638be0b979a40289364f6f32f4e5ddb760bc1e94313ce1ac2234c8073abad37bcfda5c68674b23820d1ff2f'
 '4ce47ef99f1d789556357efcd125fb9ec2cfe321a60756ea8c26fd2123fe22198b2e5f8e5ca8d0e7ba30dfde1c6477e2ce3d1f6f5b074bc0768f748350b774f1'
 'def17fb0e1737486aa172a878494bfb1e4a549eb4cb10ce54e7568ca71ee7775162868494aa2ac1f2a473bc91fd7b6e8ca742ae28099ab10b55bc72d2dc240e9']",2025-12-19,6
a587cd2e-791b-4733-867a-d43ace897033,3,3,0,-1,[ 8  9 10],Community 3,"['07578c0e-6b70-4032-9fb5-85985ff33e8b'
 '6c10800f-c81c-4a4c-be03-d83850d98484'
 '418095a7-0135-4f1b-9352-02ee9e6d6c31'
 '30c84c0d-f43f-484f-a76b-bd896afb1873'
 '8c9ce633-c4be-4822-82af-5cc7acee9be9'
 'ce7823c5-2079-4cd0-987f-8aacfe353a09'
 'e70e3eb4-f08c-4ad8-b5ff-b2b1a7239b8d'
 '9aeed33e-df62-40e7-baaa-7b855215ae61'
 'b5f421fc-afb9-4fee-b6ec-c54b69ab1ba3'
 'bfbf8b90-f48d-43de-afbf-86715ad1863b']","['0c0bf621-7ace-49bc-a0d1-8402af79bcce'
 '14ca56ce-3ec1-4a0c-b616-1a22bcb2d9ec'
 '1522265b-6396-4916-ba7e-99fb0f975cb7'
 '2102b438-fd31-4e60-9bc8-2c1151cd75f6'
 '546a47bd-bd76-44bd-9123-ffb2d2edba30'
 '5ddcd39c-2615-4cff-af3e-ad282cbcc129'
 '7cfcbc6c-06f4-4fd5-918b-bd919cb93951'
 'cf1fcc30-160a-4c33-9d01-b56e54a8d9c7'
 'e5ba76f1-1c97-4ea9-a5c5-0d262e6f1df2']","['0449a76afd55ec1ad340511a2a334d3d0e3faf9184d0d94997cacdcad5fe632f7c519e0992db028f4ac979f29767f7c604e2332d702d1a1fe8bfa6aa85d3bcfb'
 '12ecd7c50e9c677df7e4127a1ea4de59f872f9eef638be0b979a40289364f6f32f4e5ddb760bc1e94313ce1ac2234c8073abad37bcfda5c68674b23820d1ff2f'
 '169b8e27bd606bf36304b2dc773aaefa6e11439128f79115887e23cb492ab716e0d56278909e89c694ebaf6bb447a98d9803a593225515c7c86c194ecf7c338d'
 '32ff9b2a2e365706d5c8e7ec24009285b0ede81f2a4d2d9bcb54c462b332a1dca68935351b8b8396106d44f7bf4598488f3b8bfcdcd1e7aa48d30414b6cd9301'
 'fb8515c9763bb00eeb0bfc98359372a0d64382eb4725b1134e9293b7cbfd2bb4a0e84b6f546f1cc9621abd6454e756f8bedac63cba6072cfb0c5ebbcc18e5360'
 'fbdc3cae34b0ce0aecfcac241bdf2ab820cbcdaa5997e0c88497bad01a145afcf23b4914f5b4818de3c6f3bbf102c573f3ed105bb3476ffe7476f3aa6f9f3c5b']",2025-12-19,10
6d65d492-2eb0-46b7-b512-3cd5a450072d,4,4,0,-1,[],Community 4,"['8717c671-f06c-459b-8fe8-542e1baed121'
 'd8b79eac-6679-4f65-a87a-53d174405d79']",['af5f71b7-e26e-4a38-8293-ed3586454fb2'],['32ff9b2a2e365706d5c8e7ec24009285b0ede81f2a4d2d9bcb54c462b332a1dca68935351b8b8396106d44f7bf4598488f3b8bfcdcd1e7aa48d30414b6cd9301'],2025-12-19,2
b27fa599-e7dc-4c57-b890-142f9bbd8f2a,5,5,0,-1,[],Community 5,"['3d335d20-3b0d-4c2a-8acf-1754425466ff'
 '1501b4bb-6291-41d2-ac46-d6953b137fe2']",['afd3081f-cfad-4d89-80c3-74b152c22150'],['4ce47ef99f1d789556357efcd125fb9ec2cfe321a60756ea8c26fd2123fe22198b2e5f8e5ca8d0e7ba30dfde1c6477e2ce3d1f6f5b074bc0768f748350b774f1'],2025-12-19,2
b7bcb564-e8ff-45dd-b881-23b734cb015a,6,6,1,0,[],Community 6,"['6a71bb9d-842a-40b2-aa0a-fa088098eb6b'
 '345a27a5-b296-4c64-aec1-3118ce0dd720'
 'bb25abe4-56f1-436a-b249-987d437d05c6'
 '6f2807d9-37ce-4abf-8f2c-8d74579d1653'
 '4373eb02-1d58-422b-9dd6-333201d81bef'
 'dd51cc7f-7535-4d79-bd3f-63a6c3c5c3e4'
 '6e1d904a-abfd-4cf1-98b4-35e505b7ce77'
 '9896d3b5-fdb9-4ce9-b984-4caa81047763'
 'e962bd25-8f69-4c59-9668-0311acf34068'
 '5da02fc3-8ef2-458a-81f5-5b3d57fb1ab6'
 '4a3a70b4-39f0-4a2a-b902-c78796350c20'
 '0d48f9aa-98cb-41b0-b7b4-f4351cd63f99'
 '8e92e57d-c30c-4ad2-90b7-fd5f4bd5db5a'
 '639b7074-f517-4d1c-85d5-81e855bc7eec'
 'd60525e3-1e65-4005-8696-ad5bdedb2f47'
 '77770ca0-6e5f-40db-bd83-76acf8b95074'
 '860d2e83-03ea-4713-a071-7594005affbe'
 '39ae181f-1f87-4ee3-add5-cfff106f30f5'
 '9d459c02-c34e-4993-9e2b-e516bb3c75ec'
 '7be77fa7-c9fc-4bfc-b6e4-41c8a5d3be79'
 '51d5390a-330e-47ac-9e3f-eaabcf7e2aee'
 '889f5329-a819-4a85-9943-09f65363bf45'
 '8b4b63c1-e4e6-44b7-a551-0ea17d126e38'
 'd9ca206f-22f6-4307-bb95-7873fd16b560'
 '15fc2fa4-abeb-443d-b211-8436051d2874'
 '58f79fdd-caba-4f41-a8f9-db9cc6b4a6f2']","['0165682e-7ce5-468b-a0b1-a54e95070f58'
 '02af78af-8d8e-418f-b8d5-6122d3fe8a08'
 '0bb7eaaf-32a5-4692-b8df-c2747ef88207'
 '325064ba-29b6-4736-883a-0586b04d5bbe'
 '3a0b8ce7-6ead-46ce-904d-40005f617782'
 '451bb88b-46d8-49bc-8521-7d3eaff2a3f6'
 '68ebc669-6626-46b4-ae2a-8390007531f6'
 '6d600887-a9c4-4be7-bd2e-a3c2269c8cce'
 '6e1d59a3-c159-44e8-aaeb-8806361c8aaf'
 '6f3a5a3b-3051-4bd8-9c87-edc02e99fe23'
 '70666143-e393-44a2-961b-73a8ff6f9806'
 '81bfa2df-c9be-4a81-b63f-c9bf6c8812a1'
 '8a99413e-5eb3-4aea-8361-037f89f80d17'
 '8f7bcf33-b125-4f95-aecc-b0193ad14cf2'
 'a0673634-6e92-4e4d-b6d5-716784154b2f'
 'a0d2966b-d38d-4dff-8326-a35c454543cf'
 'bbea1747-9daf-4a05-b20f-6b14abeb148a'
 'c3c4a369-b890-4bd5-810b-946c05123df7'
 'c9801861-fdf9-497d-83c0-4b9b6638037f'
 'cef5c987-a957-4874-afb2-fa0989f820c0'
 'dea7a0ff-d76e-414f-9e3a-706ba85a54b4'
 'e0e7c86a-b30b-48db-bae1-5a13c7b681f7'
 'e92c13d1-5bf1-4aea-9460-fc6db4356b53'
 'f07be952-c021-4ef7-9020-b67b6220b2b4'
 'f3cf38d5-eb1e-465e-8e75-fa854711cf50'
 'fab5aa69-8637-44f1-9853-83331750b2f9'
 'fb4eaa44-c95b-4258-92cb-368e25fe4e38']","['0449a76afd55ec1ad340511a2a334d3d0e3faf9184d0d94997cacdcad5fe632f7c519e0992db028f4ac979f29767f7c604e2332d702d1a1fe8bfa6aa85d3bcfb'
 '12ecd7c50e9c677df7e4127a1ea4de59f872f9eef638be0b979a40289364f6f32f4e5ddb760bc1e94313ce1ac2234c8073abad37bcfda5c68674b23820d1ff2f'
 '169b8e27bd606bf36304b2dc773aaefa6e11439128f79115887e23cb492ab716e0d56278909e89c694ebaf6bb447a98d9803a593225515c7c86c194ecf7c338d'
 '24503ee42054d27f1e74c0adc8e8f3b952fe57e1474e3f377de153ba8f8c8f954e165e1c52e9ae8893a77f359b9c022df6b5838acf7bd2efac84489c4f88057f'
 '32ff9b2a2e365706d5c8e7ec24009285b0ede81f2a4d2d9bcb54c462b332a1dca68935351b8b8396106d44f7bf4598488f3b8bfcdcd1e7aa48d30414b6cd9301'
 '4ce47ef99f1d789556357efcd125fb9ec2cfe321a60756ea8c26fd2123fe22198b2e5f8e5ca8d0e7ba30dfde1c6477e2ce3d1f6f5b074bc0768f748350b774f1'
 '5820a90c905d8b7be94bf0f50625f67e90e2f2aea63590cf9f938ff9cd00ee9a6f199ebc1b0cc47384cff2aa03183d802e859c3fac30430ae7d7f334d6291d97'
 'def17fb0e1737486aa172a878494bfb1e4a549eb4cb10ce54e7568ca71ee7775162868494aa2ac1f2a473bc91fd7b6e8ca742ae28099ab10b55bc72d2dc240e9'
 'fbdc3cae34b0ce0aecfcac241bdf2ab820cbcdaa5997e0c88497bad01a145afcf23b4914f5b4818de3c6f3bbf102c573f3ed105bb3476ffe7476f3aa6f9f3c5b']",2025-12-19,26
0c1c3098-dca7-4e75-847b-e3ece9c2bfe4,7,7,1,0,[],Community 7,"['f98ff23d-3d76-465f-aee8-f60aacfb1960'
 '131b1a43-797c-4821-a057-a3019d8f2f9e'
 'd2478194-4a66-4796-86ff-870fe216eeb7'
 'f20a7c23-3de3-4ce0-b8ca-52b1b209da82']","['76535ec6-2d1c-4040-b92d-852100ddbc81'
 'b5f71b3b-dd87-47a3-97f8-54a637e59715'
 'ca2477dd-9b34-4dee-946e-afee21a91610']",['fbdc3cae34b0ce0aecfcac241bdf2ab820cbcdaa5997e0c88497bad01a145afcf23b4914f5b4818de3c6f3bbf102c573f3ed105bb3476ffe7476f3aa6f9f3c5b'],2025-12-19,4
0301bf89-2237-4603-ba7e-76228ebf4857,8,8,1,3,[],Community 8,"['07578c0e-6b70-4032-9fb5-85985ff33e8b'
 '6c10800f-c81c-4a4c-be03-d83850d98484'
 '30c84c0d-f43f-484f-a76b-bd896afb1873'
 '418095a7-0135-4f1b-9352-02ee9e6d6c31'
 'b5f421fc-afb9-4fee-b6ec-c54b69ab1ba3'
 'bfbf8b90-f48d-43de-afbf-86715ad1863b']","['14ca56ce-3ec1-4a0c-b616-1a22bcb2d9ec'
 '1522265b-6396-4916-ba7e-99fb0f975cb7'
 '2102b438-fd31-4e60-9bc8-2c1151cd75f6'
 '546a47bd-bd76-44bd-9123-ffb2d2edba30'
 '7cfcbc6c-06f4-4fd5-918b-bd919cb93951']","['12ecd7c50e9c677df7e4127a1ea4de59f872f9eef638be0b979a40289364f6f32f4e5ddb760bc1e94313ce1ac2234c8073abad37bcfda5c68674b23820d1ff2f'
 '169b8e27bd606bf36304b2dc773aaefa6e11439128f79115887e23cb492ab716e0d56278909e89c694ebaf6bb447a98d9803a593225515c7c86c194ecf7c338d'
 '32ff9b2a2e365706d5c8e7ec24009285b0ede81f2a4d2d9bcb54c462b332a1dca68935351b8b8396106d44f7bf4598488f3b8bfcdcd1e7aa48d30414b6cd9301'
 'fb8515c9763bb00eeb0bfc98359372a0d64382eb4725b1134e9293b7cbfd2bb4a0e84b6f546f1cc9621abd6454e756f8bedac63cba6072cfb0c5ebbcc18e5360'
 'fbdc3cae34b0ce0aecfcac241bdf2ab820cbcdaa5997e0c88497bad01a145afcf23b4914f5b4818de3c6f3bbf102c573f3ed105bb3476ffe7476f3aa6f9f3c5b']",2025-12-19,6
120e523f-ca14-4138-aa8a-a248c6316ae0,9,9,1,3,[],Community 9,"['e70e3eb4-f08c-4ad8-b5ff-b2b1a7239b8d'
 '9aeed33e-df62-40e7-baaa-7b855215ae61']",['5ddcd39c-2615-4cff-af3e-ad282cbcc129'],['0449a76afd55ec1ad340511a2a334d3d0e3faf9184d0d94997cacdcad5fe632f7c519e0992db028f4ac979f29767f7c604e2332d702d1a1fe8bfa6aa85d3bcfb'],2025-12-19,2
