id,human_readable_id,source,target,description,weight,combined_degree,text_unit_ids
38b39bd7-6467-40ea-9d03-49a1354cb9c3,0,MANUEL HUANCACHOQUE,ANDRÉS CHUQUITAPA,"Manuel Huancachoque y Andrés Chuquitapa estuvieron involucrados en una serie de conflictos en Tinta durante el periodo colonial. Manuel Huancachoque acusó a Andrés Chuquitapa, quien era el cacique y alcalde mayor de Tinta, de maltratos e injurias, tanto hacia él como hacia los indios tributarios. Huancachoque denunció a Chuquitapa por ocultar indios fuera de matrícula, lo que sugiere un intento de evadir el control colonial sobre la población indígena. Como represalia, Huancachoque afirmó haber sido víctima de maltratos y tropelías por parte de Chuquitapa, quien también fue acusado de liderar actos de violencia en la región. Sin embargo, Huancachoque fue acusado de falsedad y de intentar sublevar a los indios contra Chuquitapa, lo que indica un contexto de tensiones y disputas de poder en la administración local de Tinta.",66.0,44,"['0449a76afd55ec1ad340511a2a334d3d0e3faf9184d0d94997cacdcad5fe632f7c519e0992db028f4ac979f29767f7c604e2332d702d1a1fe8bfa6aa85d3bcfb'
 '24503ee42054d27f1e74c0adc8e8f3b952fe57e1474e3f377de153ba8f8c8f954e165e1c52e9ae8893a77f359b9c022df6b5838acf7bd2efac84489c4f88057f'
 '32ff9b2a2e365706d5c8e7ec24009285b0ede81f2a4d2d9bcb54c462b332a1dca68935351b8b8396106d44f7bf4598488f3b8bfcdcd1e7aa48d30414b6cd9301'
 'fb8515c9763bb00eeb0bfc98359372a0d64382eb4725b1134e9293b7cbfd2bb4a0e84b6f546f1cc9621abd6454e756f8bedac63cba6072cfb0c5ebbcc18e5360'
 'def17fb0e1737486aa172a878494bfb1e4a549eb4cb10ce54e7568ca71ee7775162868494aa2ac1f2a473bc91fd7b6e8ca742ae28099ab10b55bc72d2dc240e9'
 'fbdc3cae34b0ce0aecfcac241bdf2ab820cbcdaa5997e0c88497bad01a145afcf23b4914f5b4818de3c6f3bbf102c573f3ed105bb3476ffe7476f3aa6f9f3c5b'
 '169b8e27bd606bf36304b2dc773aaefa6e11439128f79115887e23cb492ab716e0d56278909e89c694ebaf6bb447a98d9803a593225515c7c86c194ecf7c338d']"
ae5863ad-2fea-4d72-875b-91cd17df26c9,1,MANUEL HUANCACHOQUE,ISIDRO CANO,"Isidro Cano certifica los maltratos sufridos por Manuel Huancachoque y los actos de violencia cometidos por los indios bajo la orden de Andrés Chuquitapa. Además, Isidro Cano informó sobre el levantamiento de los indios armados que ocurrió mientras Manuel Huancachoque estaba preso. Estos eventos reflejan la tensa situación social y política en los Andes coloniales, donde las tensiones entre las autoridades coloniales y las comunidades indígenas a menudo resultaban en conflictos violentos. La figura de Manuel Huancachoque, en este contexto, parece ser central en los eventos descritos, posiblemente como víctima de las circunstancias represivas de la época.",15.0,36,"['0449a76afd55ec1ad340511a2a334d3d0e3faf9184d0d94997cacdcad5fe632f7c519e0992db028f4ac979f29767f7c604e2332d702d1a1fe8bfa6aa85d3bcfb'
 '5820a90c905d8b7be94bf0f50625f67e90e2f2aea63590cf9f938ff9cd00ee9a6f199ebc1b0cc47384cff2aa03183d802e859c3fac30430ae7d7f334d6291d97']"
2e38907e-1207-4732-9ad9-066e56ecbb91,2,MANUEL HUANCACHOQUE,SANTIAGO CAZORLA,Santiago Cazorla certifica el servicio de Manuel Huancachoque en su compañía y los maltratos que ha sufrido.,7.0,35,['0449a76afd55ec1ad340511a2a334d3d0e3faf9184d0d94997cacdcad5fe632f7c519e0992db028f4ac979f29767f7c604e2332d702d1a1fe8bfa6aa85d3bcfb']
68ebc669-6626-46b4-ae2a-8390007531f6,3,MANUEL HUANCACHOQUE,JUAN QUIÑONES,Juan Quiñones certifica los maltratos sufridos por Manuel Huancachoque y los intentos de asesinato por parte de los indios bajo la influencia de Andrés Chuquitapa.,8.0,35,['0449a76afd55ec1ad340511a2a334d3d0e3faf9184d0d94997cacdcad5fe632f7c519e0992db028f4ac979f29767f7c604e2332d702d1a1fe8bfa6aa85d3bcfb']
c9801861-fdf9-497d-83c0-4b9b6638037f,4,MANUEL HUANCACHOQUE,REAL HACIENDA,"Manuel Huancachoque, un individuo involucrado en asuntos legales y administrativos en los Andes coloniales, presentó denuncias sobre irregularidades y robos que afectaban a la Real Hacienda, una institución clave en la administración colonial encargada de la recaudación de impuestos y la gestión de los recursos del Estado. Estas acciones de Huancachoque, orientadas a proteger los intereses de la Real Hacienda, resultaron en su encarcelamiento y en represalias en su contra, reflejando las complejas dinámicas de poder y las tensiones inherentes en la sociedad colonial andina del siglo XVIII.",8.0,34,"['0449a76afd55ec1ad340511a2a334d3d0e3faf9184d0d94997cacdcad5fe632f7c519e0992db028f4ac979f29767f7c604e2332d702d1a1fe8bfa6aa85d3bcfb'
 '4ce47ef99f1d789556357efcd125fb9ec2cfe321a60756ea8c26fd2123fe22198b2e5f8e5ca8d0e7ba30dfde1c6477e2ce3d1f6f5b074bc0768f748350b774f1']"
5a446883-6c51-49be-9a8c-83b11aee8959,5,ANDRÉS CHUQUITAPA,MIGUEL OREY,Miguel Orey fue víctima de un alzamiento violento por parte de los indios bajo la influencia de Andrés Chuquitapa.,7.0,12,['0449a76afd55ec1ad340511a2a334d3d0e3faf9184d0d94997cacdcad5fe632f7c519e0992db028f4ac979f29767f7c604e2332d702d1a1fe8bfa6aa85d3bcfb']
bcba2889-2394-47e0-8c44-3c7c95740f8a,6,ANDRÉS CHUQUITAPA,TÚPAC AMARU,"Andrés Chuquitapa fue un coronel que desempeñó un papel significativo durante la rebelión liderada por Túpac Amaru en el siglo XVIII en el Virreinato del Perú. Como cómplice de Túpac Amaru, Chuquitapa no solo participó activamente en la insurrección, sino que también expresó abiertamente su apoyo al líder insurgente. La rebelión de Túpac Amaru, que comenzó en 1780, fue un levantamiento indígena contra las autoridades coloniales españolas, motivado por el descontento con las injusticias y abusos sufridos por las comunidades indígenas. La participación de Chuquitapa en este movimiento refleja las tensiones socio-políticas de la época y su compromiso con la causa de Túpac Amaru, quien buscaba mejorar las condiciones de vida de los pueblos indígenas y desafiar el dominio colonial.",11.0,16,"['0449a76afd55ec1ad340511a2a334d3d0e3faf9184d0d94997cacdcad5fe632f7c519e0992db028f4ac979f29767f7c604e2332d702d1a1fe8bfa6aa85d3bcfb'
 '5820a90c905d8b7be94bf0f50625f67e90e2f2aea63590cf9f938ff9cd00ee9a6f199ebc1b0cc47384cff2aa03183d802e859c3fac30430ae7d7f334d6291d97']"
7350d850-5f20-49d5-9c81-acb0628c2900,7,ANDRÉS CHUQUITAPA,AYLLU TINTA,"Andrés Chuquitapa es el cacique del Ayllu Tinta, donde lidera y es responsable de los actos de violencia y maltratos.",8.0,13,['0449a76afd55ec1ad340511a2a334d3d0e3faf9184d0d94997cacdcad5fe632f7c519e0992db028f4ac979f29767f7c604e2332d702d1a1fe8bfa6aa85d3bcfb']
e5ba76f1-1c97-4ea9-a5c5-0d262e6f1df2,8,JAVIER APARICIO,TINTA,Javier Aparicio es mencionado como testigo de los eventos violentos que ocurrieron en Tinta.,1.0,8,['0449a76afd55ec1ad340511a2a334d3d0e3faf9184d0d94997cacdcad5fe632f7c519e0992db028f4ac979f29767f7c604e2332d702d1a1fe8bfa6aa85d3bcfb']
5ddcd39c-2615-4cff-af3e-ad282cbcc129,9,JAVIER APARICIO,SAN PEDRO DE CACHA,"Javier Aparicio es un soldado español originario de San Pedro de Cacha, mencionado como testigo de los eventos en Tinta.",1.0,3,['0449a76afd55ec1ad340511a2a334d3d0e3faf9184d0d94997cacdcad5fe632f7c519e0992db028f4ac979f29767f7c604e2332d702d1a1fe8bfa6aa85d3bcfb']
